TIME,Lat_GPS,Lon_GPS,Target_Lat,Target_Lon,Theta,Theta_Target,Theta_Err,VL,VR,V_Aktual,Dist_GPS,Dist_Travelled,ETA_GPS,WP,MODE
46:57.0,-7.05079,110.39151,-7.050799,110.391471,76.73,78.14,1.42,0.82,0.73,0.77,4.33,15.95,5.61,5,1
46:57.2,-7.05079,110.39151,-7.050796,110.391479,78.53,80.7,2.17,0.85,0.74,0.8,3.43,16.09,4.31,5,1
46:57.5,-7.05079,110.39151,-7.050796,110.391479,81.27,80.7,-0.57,1.13,1.05,1.09,3.43,16.29,3.15,5,1
46:57.7,-7.05079,110.39151,-7.050796,110.391479,83.1,80.7,-2.4,0.89,0.78,0.83,3.43,16.44,4.11,5,1
46:57.9,-7.05079,110.39151,-7.050796,110.391479,83.81,80.7,-3.11,0.84,0.82,0.83,3.43,16.59,4.11,5,1
46:58.1,-7.05079,110.39151,-7.050796,110.391479,84.1,80.7,-3.4,0.78,0.76,0.77,3.43,16.73,4.44,5,1
46:58.3,-7.05079,110.39151,-7.050796,110.391479,83.53,80.7,-2.83,0.8,0.84,0.82,3.43,16.87,4.16,5,1
46:58.5,-7.05079,110.39151,-7.050791,110.391487,81.32,87.84,6.52,1.08,1.12,1.1,2.53,17.07,2.3,5,1
46:58.7,-7.05079,110.39151,-7.050791,110.391487,80.03,87.84,7.8,0.8,0.88,0.84,2.53,17.22,3.02,5,1
46:59.0,-7.05079,110.39151,-7.050791,110.391487,81.07,87.84,6.76,0.63,0.56,0.59,2.53,17.33,4.26,5,1
46:59.1,-7.05079,110.39151,-7.050791,110.391487,84.15,87.84,3.68,0.46,0.37,0.42,2.53,17.4,6.09,5,1
46:59.3,-7.05079,110.39151,-7.050792,110.391494,86.41,85.2,-1.21,0.44,0.31,0.38,1.7,17.47,4.5,5,1
46:59.5,-7.05079,110.39151,-7.050792,110.391494,89.42,85.2,-4.22,0.47,0.36,0.41,1.7,17.55,4.12,5,1
46:59.7,-7.05079,110.39151,-7.050792,110.391494,90.58,85.2,-5.38,0.31,0.28,0.3,1.7,17.6,5.72,5,1
46:59.9,-7.05079,110.39151,-7.050792,110.391494,90.47,85.2,-5.27,0.29,0.28,0.28,1.7,17.65,6,5,1
47:00.2,-7.05079,110.39151,-7.050792,110.391494,89.46,85.2,-4.26,0.24,0.28,0.26,1.7,17.7,6.6,5,1
47:00.3,-7.05079,110.39151,-7.050792,110.391494,88.55,85.2,-3.35,0.26,0.31,0.29,1.7,17.75,5.96,5,1
47:00.6,-7.05079,110.39151,-7.050792,110.391494,86.67,85.2,-1.47,0.31,0.38,0.35,1.7,17.81,4.93,5,1
47:00.8,-7.05079,110.39151,-7.050792,110.391494,85.14,85.2,0.06,0.25,0.32,0.29,1.7,17.86,5.96,5,1
47:01.0,-7.05079,110.39151,-7.050792,110.391494,83.63,85.2,1.57,0.24,0.3,0.27,1.7,17.91,6.26,5,1
47:01.1,-7.05079,110.39151,-7.050792,110.391494,80.29,85.2,4.91,0.22,0.27,0.25,1.7,17.96,6.88,5,1
47:01.3,-7.05079,110.39151,-7.050792,110.391494,78.42,85.2,6.78,0.28,0.28,0.28,1.7,18.01,6.1,5,1
47:01.6,0,0,-7.050792,110.391502,77.52,267.39,-170.13,0.36,0.34,0.35,12257074,0,34766300,6,1
